306	5	95	65
307	4	105	81
318	25	92	87
325	45	109	93
326	76	118	99
331	115	107	88
326	138	118	80
325	133	114	103
316	108	130	117
316	74	140	132
293	46	219	195
268	25	126	114
255	13	95	93
240	6	96	92
220	4	96	92
210	5	99	93
207	16	94	88
207	39	92	76
216	50	94	83
221	77	98	84
229	96	127	106
246	124	147	118
242	124	148	118
255	100	127	122
277	69	115	68
289	47	105	77
280	27	119	75
261	5	129	87
247	4	105	81
236	0	106	88
197	0	142	102
181	0	158	130
222	1	133	132
262	13	118	124
282	32	108	121
304	65	145	104
338	107	146	90
356	132	141	106
375	161	128	83
387	172	124	78
409	158	130	93
436	132	103	102
432	116	105	81
413	103	95	86
374	94	97	81
354	88	94	87
336	75	91	88
328	77	83	83
321	69	89	88
313	70	93	87
315	77	99	87
289	92	137	116
291	143	138	122
316	130	136	81
337	117	117	97
348	110	120	102
358	102	180	126
375	92	209	146
393	78	146	113
393	52	173	127
401	29	123	92
388	11	77	82
364	3	94	69
350	3	80	61
347	0	87	61
348	2	81	58
345	1	85	64
343	2	88	73
352	7	82	79
355	15	113	95
361	34	126	96
