provisional_id,candidate_scope,source_type,title,authors,year,venue_or_status,stable_url,official_repo_if_any,collision_class,used_for,important_limit
HG6N1-P01,CX007,peer_reviewed_conference,"SEENN: Towards Temporal Spiking Early Exit Neural Networks","Yuhang Li; Tamar Geller; Youngeun Kim; Priyadarshini Panda",2023,"NeurIPS 2023","https://proceedings.neurips.cc/paper_files/paper/2023/hash/c801e68207da477bbc44182b9fac1129-Abstract.html","https://github.com/Intelligent-Computing-Lab-Yale/SEENN",PARTIAL_COLLISION,"input-conditioned SNN timesteps and temporal early exit","classification rather than tracking; no MRM or distractor-conditioned retrieval"
HG6N1-P02,CX007,peer_reviewed_conference,"Input-Aware Dynamic Timestep Spiking Neural Networks for Efficient In-Memory Computing","Yuhang Li; Abhishek Moitra; Tamar Geller; Priyadarshini Panda",2023,"DAC 2023","https://doi.org/10.1109/DAC56929.2023.10247869","",PARTIAL_COLLISION,"input-dependent SNN timestep allocation","classification/IMC rather than tracking; no MRM"
HG6N1-P03,CX007,peer_reviewed_conference,"Towards Efficient Spiking Transformer: a Token Sparsification Framework for Training and Inference Acceleration","Zhengyang Zhuge; Peisong Wang; Xingting Yao; Jian Cheng",2024,"ICML 2024","https://proceedings.mlr.press/v235/zhuge24b.html","",PARTIAL_COLLISION,"spiking-transformer token sparsification and temporal importance","not visual tracking; fixed token-sparsification objective rather than ambiguity-conditioned MRM contribution"
HG6N1-P04,CX007,peer_reviewed_conference,"Spiking Transformer with Experts Mixture","Zhaokun Zhou; Yijie Lu; Yanhao Jia; Kaiwei Che; Jun Niu; Liwei Huang; Xinyu Shi; Yuesheng Zhu; Guoqi Li; Zhaofei Yu; Li Yuan",2024,"NeurIPS 2024","https://proceedings.neurips.cc/paper_files/paper/2024/hash/137101016144540ed3191dc2b02f09a5-Abstract-Conference.html","",PARTIAL_COLLISION,"dynamic sparse conditional computation in spiking transformers","no tracking or template-conditioned MRM; approximate-overhead capacity routing rather than measured MRM utility"
HG6N1-P05,CX007,peer_reviewed_conference,"TP-Spikformer: Token Pruned Spiking Transformer","Wenjie Wei; Xiaolong Zhou; Malu Zhang; Ammar Belatreche; Qian Sun; Yimeng Shan; Dehao Zhang; Zijian Zhou; Zeyu Ma; Yang Yang; Haizhou Li",2026,"ICLR 2026","https://openreview.net/forum?id=L5llQD0nMf","https://github.com/xlzhou126/TP-Spikformer",PARTIAL_COLLISION,"SDTV3-compatible spiking token routing and event-based object-tracking coverage","fixed spatiotemporal token criterion; not RGB SOT MRM-scale/template allocation and not distractor-conditioned"
HG6N1-P06,CX007,peer_reviewed_conference,"Towards More Discriminative Feature Learning in SNNs With Temporal-Self-Erasing Supervision","Wei Liu; Li Yang; Mingxuan Zhao; Dengfeng Xue; Shuxun Wang; Boyu Cai; Jin Gao; Wenjuan Li; Bing Li; Weiming Hu",2025,"AAAI 2025","https://ojs.aaai.org/index.php/AAAI/article/view/32132","",ADJACENT_PRIOR_ART,"temporal redundancy suppression and discriminative SNN features","training supervision for recognition; no conditional inference or tracking retrieval"
HG6N1-P07,CX007,conference_preprint,"Depth-Adaptive Computational Policies for Efficient Visual Tracking","Chris Ying; Katerina Fragkiadaki",2018,"arXiv:1801.00508; EMMCVPR proceedings version","https://arxiv.org/abs/1801.00508","",PARTIAL_COLLISION,"foundational frame-difficulty-conditioned tracking depth","ANN Siamese depth gating; no spiking MRM or target-distractor retrieval decomposition"
HG6N1-P08,CX007,peer_reviewed_journal,"Exploiting Lightweight Hierarchical ViT and Dynamic Framework for Efficient Visual Tracking","Ben Kang; Xin Chen; Jie Zhao; Chunjuan Bo; Dong Wang; Huchuan Lu",2025,"International Journal of Computer Vision 133","https://doi.org/10.1007/s11263-025-02500-9","https://github.com/kangben258/HiT",PARTIAL_COLLISION,"easy/hard feature-driven tracker routing and early exit","whole-route/depth selection; no spike-driven retrieval or distractor-specific MRM marginal utility"
HG6N1-P09,"CX007;CX013",peer_reviewed_conference,"Adaptive Capacity Autoregressive Visual Tracking","Tong Lin; Yifan Bai; Shiyi Liang; Ruigang Niu; Xing Wei",2026,"CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Lin_Adaptive_Capacity_Autoregressive_Visual_Tracking_CVPR_2026_paper.html","https://github.com/MIV-XJTU/ARTrackAC",PARTIAL_COLLISION,"difficulty-conditioned high/low tracker capacity in the same autoregressive family","no template-validity signal or SpikeTrack MRM-specific allocation"
HG6N1-P10,CX007,arxiv_preprint,"Adaptively Bypassing Vision Transformer Blocks for Efficient Visual Tracking","Xiangyang Yang; Dan Zeng; Xucheng Wang; You Wu; Hengzhou Ye; Qijun Zhao; Shuiwang Li",2024,"arXiv:2406.08037","https://arxiv.org/abs/2406.08037","https://github.com/xyyang317/ABTrack",PARTIAL_COLLISION,"scene/target-conditioned transformer-block bypassing","arXiv-only; generic block routing rather than MRM/distractor interaction"
