path,scope,size_bytes,sha256,committed_external,verification_status
screening/codex/2026-08-26_stage4B_analysis_summary.json,stage4b_analysis_summary,12066,06a7959f3e500ef62c63cbd5dfcd91c619ec1bf176d471d597b1de548d2cf799,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/2026-08-26_stage4B_bootstrap_results.csv,stage4b_required_or_analysis_csv,4367,b4b4e1a0b79590a398c899ba4070c5005172b2d09945663a1c4e42c141a6081d,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/2026-08-26_stage4B_command_log.txt,stage4b_command_log,13645,f757860feadd3b80a93342c51b535045f3e864238b4509c79f3d0e8d446e82e6,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/2026-08-26_stage4B_criterionA_results.csv,stage4b_required_or_analysis_csv,1044,5b93bf39cc38ac60abcf5339c6f6b5df9c61c747b88fffe30e9ab328d6903a96,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/2026-08-26_stage4B_criterionB_results.csv,stage4b_required_or_analysis_csv,3650,be377287f07b06a2a8da626c682a1e6b249f5324dde242398755cd70e333daa7,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/2026-08-26_stage4B_discovery_execution_report.md,stage4b_execution_report,29071,652f3809084b15714d914331fdac2bf7a4e1a08ae879473ec1487fbd864ebe02,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED_AND_MODIFIED
screening/codex/2026-08-26_stage4B_holm_adjusted_tests.csv,stage4b_required_or_analysis_csv,943,fed3044bf2fefe960305b47302633d7278105cd9076fe9ad4be48f3c0faac35d,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/2026-08-26_stage4B_pair_level_A.csv,stage4b_required_or_analysis_csv,3149,dc97bab518052707887ca3f457033e93fd38779f3d96b8854ea4f1c5de02c0e5,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/2026-08-26_stage4B_pair_level_B.csv,stage4b_required_or_analysis_csv,14058,da74932ecc24da48f5c85a34d633d890190ca8a1dcc99e85d8dcad61f8a1cc0e,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/2026-08-26_stage4B_sensitivity_results.csv,stage4b_required_or_analysis_csv,68198,96af65329cc3e8bffa7da0999d3bd43cd23a21d0535e517c2655d22cf81cc441,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/analysis_summary.json,stage4b_execution_or_analysis_summary,12066,06a7959f3e500ef62c63cbd5dfcd91c619ec1bf176d471d597b1de548d2cf799,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/baseline_per_frame_metrics.csv,stage4b_bounded_per_frame_metrics,163274,3ad7ca56ad1f505c5b8e7a056d2fb7e448efffd58f436ced92b8f36eb1f7517e,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/baseline_sequence_execution.csv,stage4b_machine_artifact,4393,6f0a24ad207f191002e2adb019a8939c85022fe1f02df8fc3ae49ba8eae01e10,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/bootstrap_results.csv,stage4b_bounded_analysis_machine_file,4367,b4b4e1a0b79590a398c899ba4070c5005172b2d09945663a1c4e42c141a6081d,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/bounded_refinement_execution_manifest.csv,stage4b_machine_manifest,83460,12847f97adaaead62ec9a9b6dc5782d50bfc85a01f0a655aa7afed2bd70af149,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/bounded_refinement_execution_summary.json,stage4b_execution_or_analysis_summary,9486,a717306244959c106aea928696ad51623d947541569a5c444d48ae673f6707f0,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/bounded_refinement_timing_characterization.csv,stage4b_timing_characterization,25893,acb31aa217dbf44f18288b33042609dddf9ddeb46cdb2671d8ec7e170d8f2089,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/criterionA_execution_summary.json,stage4b_execution_or_analysis_summary,499,ad5026f9c6f13a35e71889141758b865e2387a721b65e3acd0df0dee5aced47e,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/criterionA_results.csv,stage4b_bounded_analysis_machine_file,1044,5b93bf39cc38ac60abcf5339c6f6b5df9c61c747b88fffe30e9ab328d6903a96,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/criterionB_execution_summary.json,stage4b_execution_or_analysis_summary,5303,cf18d4c996798c7741584fbb31d810a6d8703663e91fc2fd6e35d9ce4da3d3eb,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/criterionB_results.csv,stage4b_bounded_analysis_machine_file,3650,be377287f07b06a2a8da626c682a1e6b249f5324dde242398755cd70e333daa7,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/discovery_execution_manifest.csv,stage4b_machine_manifest,3265,0428adbb5c39ec11741da0970c26d8e6c9cf3a711566df80bd6154026392d374,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/external_evidence_registry.csv,stage4b_machine_artifact,8108,b8fa4cab8514d435838289d0610d79f64c5cf51b1c9fedb7040b8c6ce714233d,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/holdout_seal.csv,stage4b_machine_artifact,1659,fbfd885bcbe00173f3baed4b9a9c0d5823675f6064ad554f2436a7fe241cb855,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/holm_adjusted_tests.csv,stage4b_bounded_analysis_machine_file,943,fed3044bf2fefe960305b47302633d7278105cd9076fe9ad4be48f3c0faac35d,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/mode_execution_manifest.csv,stage4b_machine_manifest,86528,227e8e055d220eeda9fb7b1ab9d11f1cda5e8177e00d619f11b003760e38262b,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/mode_module_timing_characterization.csv,stage4b_timing_characterization,34598,0737735e8a857e745dbe8f23c3f9eeed600c1702052ef603d0cad2f324151d75,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/mode_per_frame_metrics.csv,stage4b_bounded_per_frame_metrics,1729967,d9c85480c1b4cdc0c12c01ac2def4a3a607e7bd00787d09edb905c3de2655ef7,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
screening/codex/artifacts/stage4B_discovery/module_timing_characterization.csv,stage4b_timing_characterization,429651,30b91dc370c722c260f363529da333659e6d2120c26842e5a7a5f49fc6e7bd90,COMMIT_CANDIDATE,HASH_VERIFIED_REPOSITORY_BOUNDED;GIT_STATE=STAGED
