pair_id,side,sequence,frame_index,condition,selected_refinement_path,iou,iou_float,failure,success_at_0_5,center_error,physical_skip,pred_x_float,pred_y_float,pred_w_float,pred_h_float,pred_x_int,pred_y_int,pred_w_int,pred_h_int,gt_x,gt_y,gt_w,gt_h,score_map_max,confidence_score,model_forward_ms,initialization_frame,evaluator_first_frame_override,branch_frame_executed,tracker_mode,ablation_control
R3-D01,control,David3,195,t3_baseline,mrm1,0.6044455998960093,0.5995615049512353,0,1,4.272001872658765,False,384.3218479156494,184.23018646240234,49.166866302490234,157.74176025390625,384,184,49,157,389.0,189.0,31.0,150.0,0.7881098985671997,0.7747479677200317,401.0679999992135,False,False,True,T3,none
R3-D01,control,David3,196,t3_baseline,mrm1,0.7311320754716981,0.7149304007049211,0,1,3.8078865529319543,False,381.2020092010498,183.89507293701172,40.6893196105957,159.84857177734375,381,183,40,159,389.0,189.0,31.0,150.0,0.6060088276863098,0.5957342982292175,446.184299995366,False,False,True,T3,none
R3-D01,control,David3,197,t3_baseline,mrm1,0.75,0.7359012987944676,0,1,2.5495097567963922,False,380.82428550720215,189.0708465576172,40.53866958618164,155.74269104003906,380,189,40,155,384.0,189.0,31.0,150.0,0.813543975353241,0.799750804901123,427.78690000704955,False,False,True,T3,none
R3-D01,control,David3,198,t3_baseline,mrm1,0.713974478680361,0.7061829276880295,0,1,1.0,False,376.7869930267334,193.69178009033203,43.117374420166016,148.039794921875,376,193,43,148,382.0,191.0,31.0,150.0,0.813543975353241,0.799750804901123,403.6204000003636,False,False,True,T3,none
R3-D01,control,David3,199,t3_baseline,mrm1,0.7057457023385473,0.7049851261924003,0,1,2.0,False,375.07835960388184,192.2651138305664,43.388553619384766,148.97085571289062,375,192,43,148,381.0,193.0,31.0,150.0,0.813543975353241,0.799750804901123,427.81989999639336,False,False,True,T3,none
R3-D01,control,David3,200,t3_baseline,mrm1,0.6158377859980819,0.6193117054673682,0,1,6.324555320336759,False,371.44126319885254,188.50469970703125,47.100826263427734,152.4523468017578,371,188,47,152,377.0,195.0,31.0,150.0,0.813543975353241,0.799750804901123,441.8694000050891,False,False,True,T3,none
R3-D01,control,David3,201,t3_baseline,mrm1,0.653160453808752,0.6515898992211999,0,1,5.0990195135927845,False,369.9032611846924,192.05744171142578,45.1519889831543,146.0394287109375,369,192,45,146,375.0,195.0,31.0,150.0,0.813543975353241,0.799750804901123,423.14919999626,False,False,True,T3,none
R3-D01,control,David3,202,t3_baseline,mrm1,0.634029590948651,0.6397202929166037,0,1,7.5,False,368.67136001586914,189.8656997680664,45.23633575439453,147.79714965820312,368,189,45,147,375.0,195.0,31.0,150.0,0.813543975353241,0.799750804901123,406.87720000278205,False,False,True,T3,none
R3-D01,control,David3,203,t3_baseline,mrm1,0.6644157369348209,0.6604246905022976,0,1,5.5901699437494745,False,366.23461151123047,189.09632110595703,44.4732666015625,152.69512939453125,366,189,44,152,375.0,195.0,31.0,150.0,0.813543975353241,0.799750804901123,414.8663000014494,False,False,True,T3,none
R3-D01,control,David3,204,t3_baseline,mrm1,0.6829809256247228,0.6764699604107257,0,1,2.5495097567963922,False,366.1067123413086,187.83416748046875,44.74444580078125,153.62620544433594,366,187,44,153,372.0,191.0,31.0,150.0,0.813543975353241,0.799750804901123,396.563000002061,False,False,True,T3,none
R3-D01,control,David3,205,t3_baseline,mrm1,0.6972154222766218,0.6896336513065889,0,1,3.0413812651491097,False,363.6128692626953,188.71991729736328,43.34043884277344,152.4639892578125,363,188,43,152,372.0,191.0,31.0,147.0,0.813543975353241,0.799750804901123,425.25629999727244,False,False,True,T3,none
R3-D01,control,David3,206,t3_baseline,mrm1,0.7542204568023834,0.7439123888360669,0,1,2.0615528128088303,False,366.3063793182373,187.82333374023438,38.44853591918945,159.32261657714844,366,187,38,159,369.0,191.0,31.0,147.0,0.813543975353241,0.799750804901123,461.49689999583643,False,False,True,T3,none
R3-D01,control,David3,207,t3_baseline,mrm1,0.7085997442455243,0.697093559494381,0,1,4.301162633521313,False,361.52977561950684,195.15562438964844,42.575016021728516,146.1776580810547,361,195,42,146,369.0,191.0,31.0,147.0,0.813543975353241,0.799750804901123,438.0027000006521,False,False,True,T3,none
R3-D01,control,David3,208,t3_baseline,mrm1,0.7697635135135135,0.7486072337697193,0,1,1.5811388300841898,False,363.3057498931885,193.84799194335938,40.631710052490234,148.3053741455078,363,193,40,148,366.0,193.0,31.0,147.0,0.813543975353241,0.799750804901123,686.9454999978188,False,False,True,T3,none
R3-D01,control,David3,209,t3_baseline,mrm1,0.6357850070721358,0.6333004368265858,0,1,1.5811388300841898,False,357.5483150482178,192.55978393554688,48.70633316040039,146.98045349121094,357,192,48,146,366.0,193.0,31.0,147.0,0.813543975353241,0.799750804901123,589.9591999987024,False,False,True,T3,none
R3-D01,control,David3,210,t3_baseline,mrm1,0.6735947094945678,0.6721252744888776,0,1,5.1478150704935,False,362.7836742401123,200.8080062866211,44.17018508911133,138.29135131835938,362,200,44,138,364.0,198.0,31.0,147.0,0.813543975353241,0.799750804901123,566.4784000036889,False,False,True,T3,none
R3-D01,control,David3,211,t3_baseline,mrm1,0.6087810352083041,0.6066630503180203,0,1,5.522680508593631,False,356.69664573669434,194.9961929321289,48.801151275634766,144.260986328125,356,194,48,144,364.0,198.0,31.0,147.0,0.813543975353241,0.799750804901123,485.0854999967851,False,False,True,T3,none
R3-D01,control,David3,212,t3_baseline,mrm1,0.6437258973598339,0.6452091898065367,0,1,6.324555320336759,False,359.06176948547363,193.22318267822266,45.15128707885742,145.583984375,359,193,45,145,364.0,198.0,31.0,147.0,0.813543975353241,0.799750804901123,470.0814000025275,False,False,True,T3,none
R3-D01,control,David3,213,t3_baseline,mrm1,0.7251767081790643,0.7217356786800545,0,1,7.566372975210778,False,359.797082901001,191.70518493652344,39.60702133178711,146.23716735839844,359,191,39,146,364.0,198.0,31.0,147.0,0.813543975353241,0.799750804901123,467.5878999987617,False,False,True,T3,none
R3-D01,control,David3,214,t3_baseline,mrm1,0.7320085929108485,0.726348992699377,0,1,2.0615528128088303,False,360.69243240356445,193.66159057617188,38.27954864501953,147.0635223388672,360,193,38,147,364.0,198.0,29.0,141.0,0.813543975353241,0.799750804901123,435.33609999576584,False,False,True,T3,none
R3-D01,control,David3,215,t3_baseline,mrm1,0.7376740684983064,0.7050361206459217,0,1,5.656854249492381,False,362.5416660308838,189.11541748046875,35.50002670288086,147.10462951660156,362,189,35,147,361.0,196.0,29.0,141.0,0.813543975353241,0.799750804901123,444.09089999680873,False,False,True,T3,none
R3-D01,control,David3,216,t3_baseline,mrm1,0.7588478915662651,0.7579543771963071,0,1,2.692582403567252,False,357.5909175872803,192.7266616821289,37.54025650024414,142.72604370117188,357,192,37,142,360.0,195.0,29.0,141.0,0.813543975353241,0.799750804901123,510.3679000021657,False,False,True,T3,none
R3-D01,control,David3,217,t3_baseline,mrm1,0.7484218343854437,0.7371975517924938,0,1,3.5,False,356.32716369628906,190.66661834716797,37.92860412597656,144.2025146484375,356,190,37,144,360.0,195.0,29.0,141.0,0.813543975353241,0.799750804901123,490.7881999970414,False,False,True,T3,none
R3-D01,control,David3,218,t3_baseline,mrm1,0.647887323943662,0.6527892571428924,0,1,6.103277807866851,False,353.0013999938965,188.3614730834961,42.070457458496094,145.95870971679688,353,188,42,145,356.0,195.0,29.0,141.0,0.813543975353241,0.799750804901123,425.6591000012122,False,False,True,T3,none
R3-D01,control,David3,219,t3_baseline,mrm1,0.6365193026151931,0.6273512841179624,0,1,2.5495097567963922,False,348.4747886657715,190.0958251953125,44.369956970214844,146.8984832763672,348,190,44,146,356.0,195.0,29.0,141.0,0.813543975353241,0.799750804901123,393.23090000107186,False,False,True,T3,none
R3-D01,control,David3,220,t3_baseline,mrm1,0.653507285665876,0.6492443517051376,0,1,5.5901699437494745,False,347.46131324768066,193.8023681640625,42.82394027709961,135.4335174560547,347,193,42,135,356.0,195.0,29.0,141.0,0.813543975353241,0.799750804901123,396.62780000071507,False,False,True,T3,none
