pair_id,side,sequence,frame_index,pred_x_float,pred_y_float,pred_w_float,pred_h_float,pred_x_int,pred_y_int,pred_w_int,pred_h_int,gt_x,gt_y,gt_w,gt_h,iou,iou_float,failure,success_at_0_5,center_error,score_map_max,confidence_score,model_forward_ms,initialization_frame,evaluator_first_frame_override,tracker_mode,ablation_control,physical_skip
R3-D01,primary,Basketball,397,132.16757202148438,209.39632415771484,66.03715515136719,148.03759765625,132,209,66,148,154.0,237.0,34.0,81.0,0.2819410319410319,0.2817108352929645,1,0,8.139410298049853,0.392326295375824,0.3856746256351471,235.4963999823667,False,False,T1,none,False
R3-D01,primary,Basketball,398,127.88592529296878,207.81177520751953,74.12876892089844,151.23648071289062,127,207,74,151,153.0,237.0,34.0,81.0,0.24646500805441202,0.24565215901636966,1,0,7.810249675906654,0.4130067527294159,0.4060044586658478,209.10380000714213,False,False,T1,none,False
R3-D01,primary,Basketball,399,143.75867271423343,224.84815216064453,56.82657241821289,129.88134765625,143,224,56,129,153.0,240.0,34.0,81.0,0.3812292358803987,0.37313474248913003,1,0,8.06225774829855,0.426472008228302,0.41924142837524414,208.7632000038866,False,False,T1,none,False
R3-D01,primary,Basketball,400,145.70340538024905,221.1922607421875,51.906009674072266,135.74937438964844,145,221,51,135,149.0,238.0,34.0,81.0,0.4,0.39084850560572176,1,0,10.965856099730654,0.4842863082885742,0.47607550024986267,229.23480000463314,False,False,T1,none,False
R3-D01,primary,Basketball,401,139.8292331695557,219.12036895751953,58.88723373413086,137.36187744140625,139,219,58,137,150.0,239.0,34.0,81.0,0.3465894789831362,0.3404682075474597,1,0,8.06225774829855,0.48377659916877747,0.47557443380355835,204.6635000151582,False,False,T1,none,False
R3-D01,primary,Basketball,402,139.67025947570804,220.60733032226562,58.1261100769043,132.8770294189453,139,220,58,132,152.0,238.0,34.0,81.0,0.359717868338558,0.35656832866889626,1,0,7.566372975210778,0.4242748022079468,0.41708147525787354,201.80559999425896,False,False,T1,none,False
R3-D01,primary,Basketball,403,142.3531017303467,225.97679901123047,56.6795539855957,120.16189575195312,142,225,56,120,152.0,236.0,34.0,81.0,0.40982142857142856,0.4043623765907547,1,0,8.558621384311845,0.4683355987071991,0.4603952467441559,194.71969999722205,False,False,T1,none,False
R3-D01,primary,Basketball,404,141.29856872558597,218.70195770263672,53.93717956542969,132.07598876953125,141,218,53,132,155.0,236.0,34.0,81.0,0.3936535162950257,0.3865910828154797,1,0,8.74642784226795,0.527262270450592,0.5183228254318237,268.6851000180468,False,False,T1,none,False
R3-D01,primary,Basketball,405,144.58328819274905,219.30941009521484,54.003910064697266,127.2108154296875,144,219,54,127,155.0,234.0,34.0,81.0,0.4015748031496063,0.40088028094340844,1,0,8.06225774829855,0.4537082314491272,0.446015864610672,235.40129998582415,False,False,T1,none,False
R3-D01,primary,Basketball,406,135.4904594421387,220.51512145996094,63.76787567138672,130.2393035888672,135,220,63,130,155.0,233.0,34.0,81.0,0.3362637362637363,0.3316041226377432,1,0,12.747548783981962,0.44442659616470337,0.39267101883888245,220.6566999957431,False,False,T1,none,False
R3-D01,primary,Basketball,407,138.39450263977054,220.3891372680664,59.42472457885742,131.02615356445312,138,220,59,131,154.0,230.0,34.0,81.0,0.3563203519213352,0.3537030187673574,1,0,15.402921800749363,0.4797718822956085,0.47163763642311096,211.1748000024818,False,False,T1,none,False
R3-D01,primary,Basketball,408,143.33987808227542,229.61128616333008,52.87531280517578,107.85132598876953,143,229,52,107,155.0,235.0,34.0,81.0,0.49496764917325664,0.4829314593499791,1,0,7.615773105863909,0.44289693236351013,0.43538787961006165,219.69719999469817,False,False,T1,none,False
R3-D01,primary,Basketball,409,144.31059074401858,216.6826629638672,55.60133743286133,129.3475799560547,144,216,55,129,159.0,235.0,34.0,81.0,0.38816067653276953,0.38293088024796085,1,0,6.726812023536855,0.42655983567237854,0.4193277657032013,213.37209999910556,False,False,T1,none,False
R3-D01,primary,Basketball,410,140.44364929199222,221.94133758544922,61.54936218261719,126.36996459960938,140,221,61,126,158.0,234.0,34.0,81.0,0.3583138173302108,0.35407602028462576,1,0,10.51189802081432,0.3865639567375183,0.3800099790096283,193.98750000982545,False,False,T1,none,False
R3-D01,primary,Basketball,411,144.55444526672366,219.43092727661133,60.2584342956543,127.57849884033203,144,219,60,127,160.0,234.0,34.0,81.0,0.36141732283464567,0.35823548699658325,1,0,8.54400374531753,0.4758906364440918,0.46782219409942627,207.49509998131543,False,False,T1,none,False
R3-D01,primary,Basketball,412,141.88244628906253,224.1916732788086,65.06385803222656,126.06277465820312,141,224,65,126,160.0,234.0,34.0,81.0,0.3362637362637363,0.33576642177230503,1,0,12.98075498574717,0.5081983804702759,0.4995821714401245,238.3694999734871,False,False,T1,none,False
R3-D01,primary,Basketball,413,143.50629615783694,223.89748001098633,59.927669525146484,110.20941925048828,143,223,59,110,159.0,236.0,34.0,81.0,0.4243451463790447,0.4169825039497526,1,0,3.8078865529319543,0.42655983567237854,0.4193277657032013,213.45609999843873,False,False,T1,none,False
R3-D01,primary,Basketball,414,136.5528831481934,203.86370086669922,80.68389129638672,150.85287475585938,136,203,80,150,161.0,233.0,34.0,81.0,0.2295,0.2262681935066024,1,0,4.924428900898052,0.4669143855571747,0.32750365138053894,204.6723999956157,False,False,T1,none,False
R3-D01,primary,Basketball,415,116.3200302124024,179.38236236572266,123.09274291992188,169.09390258789062,116,179,123,169,162.0,233.0,34.0,81.0,0.13248665031029008,0.1323133115301039,1,0,10.111874208078342,0.46028971672058105,0.33841609954833984,205.73139999760315,False,False,T1,none,False
R3-D01,primary,Basketball,416,112.52919006347662,150.796142578125,119.55271911621094,192.63682556152344,112,150,119,192,162.0,234.0,34.0,81.0,0.12053571428571429,0.11958182159977256,1,0,29.47032405658275,0.3573330342769623,0.35127466917037964,204.62879998376593,False,False,T1,none,False
R3-D01,primary,Basketball,417,143.51707839965826,175.23111724853516,71.5281753540039,181.08822631835938,143,175,71,181,163.0,235.0,34.0,81.0,0.21430238891915027,0.21261630888662147,1,0,10.111874208078342,0.44390928745269775,0.40716812014579773,194.13960000383668,False,False,T1,none,False
R3-D01,primary,Basketball,418,135.29471397399908,127.0700798034668,54.70383071899414,90.08983612060547,135,127,54,90,165.0,234.0,34.0,81.0,0.0,0.0,1,0,104.43299287102711,0.5023196935653687,0.39909064769744873,216.40809997916222,False,False,T1,none,False
R3-D01,primary,Basketball,419,129.9714851379395,128.9008331298828,65.5937271118164,100.73139953613281,129,128,65,100,162.0,234.0,34.0,81.0,0.0,0.0,1,0,98.07395168952866,0.47125443816185,0.42469921708106995,200.72029999573715,False,False,T1,none,False
R3-D01,primary,Basketball,420,125.62966918945318,121.41091537475586,79.82447814941406,118.45513153076172,125,121,79,118,166.0,235.0,34.0,81.0,0.011390284757118929,0.01373656692052765,1,0,97.2753822917186,0.4415333867073059,0.347087562084198,217.4263000197243,False,False,T1,none,False
R3-D01,primary,Basketball,421,133.07168006896978,132.42369079589844,56.157588958740234,94.86940002441406,133,132,56,94,166.0,234.0,34.0,81.0,0.0,0.0,1,0,98.00127550190355,0.46725955605506897,0.459337443113327,201.9504999916535,False,False,T1,none,False
R3-D01,primary,Basketball,422,134.23729896545416,125.25529479980469,55.823177337646484,97.42759704589844,134,125,55,97,166.0,234.0,34.0,81.0,0.0,0.0,1,0,103.26301370771628,0.5221417546272278,0.5132891535758972,207.79610000317916,False,False,T1,none,False
R3-D01,primary,Basketball,423,128.95250129699713,121.65631484985352,59.73225021362305,103.44239044189453,128,121,59,103,166.0,235.0,34.0,81.0,0.0,0.0,1,0,106.1096131366051,0.5172515511512756,0.5084818601608276,207.85269999760203,False,False,T1,none,False
R3-D01,primary,Basketball,424,138.52891349792486,122.62921524047852,50.19581985473633,101.97657012939453,138,122,50,101,166.0,234.0,34.0,81.0,0.0,0.0,1,0,103.94229168149026,0.5212556719779968,0.5124180912971497,214.28069999092259,False,False,T1,none,False
R3-D01,primary,Basketball,425,128.4600734710694,123.8596076965332,60.966617584228516,97.71048736572266,128,123,60,97,166.0,234.0,34.0,81.0,0.0,0.0,1,0,105.99056561788883,0.44258251786231995,0.43507879972457886,222.31450001709163,False,False,T1,none,False
R3-D01,primary,Basketball,426,130.31374740600592,120.26456832885742,58.52355194091797,107.10079193115234,130,120,58,107,167.0,234.0,34.0,81.0,0.0,0.0,1,0,104.04806581575652,0.46958720684051514,0.4616256356239319,226.80800000671297,False,False,T1,none,False
R3-D01,primary,Basketball,427,131.025224685669,118.11761474609375,62.22452926635742,109.39118957519531,131,118,62,109,169.0,235.0,34.0,81.0,0.0,0.0,1,0,105.75916035975324,0.3907319903373718,0.3841073513031006,235.26119999587536,False,False,T1,none,False
R3-D01,primary,Basketball,428,116.66723632812506,111.3266487121582,87.93013000488281,119.79886627197266,116,111,87,119,171.0,235.0,34.0,81.0,0.0,0.0,1,0,108.79912683473154,0.41539865732192993,0.34405267238616943,214.32120000827126,False,False,T1,none,False
R3-D01,primary,Basketball,429,118.69026565551763,118.57975769042969,72.37674713134766,113.05342102050781,118,118,72,113,173.0,234.0,34.0,81.0,0.0,0.0,1,0,106.28264204469139,0.3956758677959442,0.34017348289489746,219.82840000418946,False,False,T1,none,False
R3-D01,primary,Basketball,430,124.46297073364263,110.57190322875977,68.09122467041016,113.0185317993164,124,110,68,113,174.0,233.0,34.0,81.0,0.0,0.0,1,0,111.97321108193691,0.3987671732902527,0.3920063078403473,212.50880000297911,False,False,T1,none,False
R3-D01,primary,Basketball,431,118.66020202636724,104.80754852294922,71.66642761230469,124.45272827148438,118,104,71,124,177.0,235.0,34.0,81.0,0.0,0.0,1,0,116.74973233374028,0.3742009103298187,0.3473910391330719,208.02489999914542,False,False,T1,none,False
R3-D01,primary,Basketball,432,114.50915908813482,98.40360260009766,91.05921173095703,131.083251953125,114,98,91,131,177.0,235.0,34.0,81.0,0.0,0.0,1,0,117.19321652723761,0.37538519501686096,0.34405267238616943,200.61110000824556,False,False,T1,none,False
