provisional_id,candidate_scope,source_type,title,year,venue_or_status,stable_url,collision_class,used_for,important_limit
N2-S01,"CX044;CX058",conference_preprint,"Depth-Adaptive Computational Policies for Efficient Visual Tracking",2018,"EMMCVPR proceedings / arXiv record",https://arxiv.org/abs/1801.00508,PARTIAL_COLLISION,"foundational frame/object-difficulty-conditioned tracking depth","older Siamese architecture; no AsymTrack family or distractor-calibrated DyHiT router"
N2-S02,"CX044;CX058",journal_article,"Adaptively bypassing vision transformer blocks for efficient visual tracking",2025,"Pattern Recognition 161:111278",https://doi.org/10.1016/j.patcog.2024.111278,PARTIAL_COLLISION,"target/scene-dependent block bypassing and latent-dimension pruning","generic ViT block decisions; no specific AsymTrack low-resolution/viewpoint/fast-motion oracle or DyHiT distractor route calibration"
N2-S03,CX044,conference_paper,"Similarity-Guided Layer-Adaptive Vision Transformer for UAV Tracking",2025,"CVPR 2025",https://openaccess.thecvf.com/content/CVPR2025/html/Xue_Similarity-Guided_Layer-Adaptive_Vision_Transformer_for_UAV_Tracking_CVPR_2025_paper.html,PARTIAL_COLLISION,"dynamic disabling of representation-similar layers for accuracy-speed trade-off","UAV-focused layer similarity; not AsymTrack T/S/B condition oracle"
N2-S04,CX044,journal_article,"Learning motion blur robust vision transformers for real-time UAV tracking",2026,"Expert Systems with Applications; DOI-assigned",https://doi.org/10.1016/j.eswa.2025.129445,DIRECT_COLLISION,"dynamic early exit jointly with motion-blur/fast-motion robustness","UAV/motion-blur setting; does not use AsymTrack family variants"
N2-S05,CX044,conference_paper,"Learning Adaptive and View-Invariant Vision Transformer for Real-Time UAV Tracking",2024,"ICML 2024; PMLR 235",https://proceedings.mlr.press/v235/li24ax.html,DIRECT_COLLISION,"adaptive block activation jointly with viewpoint-change robustness","UAV setting; no AsymTrack family switching"
N2-S06,CX044,journal_article,"SAMViTrack: A Search-Region Adaptive Mamba-ViT Tracker for Real-Time UAV Tracking",2025,"Sensors 25(24):7454",https://doi.org/10.3390/s25247454,PARTIAL_COLLISION,"motion/environment-conditioned adaptive search under fast motion, occlusion and scale change","lower-tier UAV-specific journal; search-region allocation rather than model-capacity routing"
N2-S07,CX058,conference_paper,"Adaptive Depth Lightweight RGB-T Tracking with Holistic Token Routing",2026,"CVPR 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Ding_Adaptive_Depth_Lightweight_RGB-T_Tracking_with_Holistic_Token_Routing_CVPR_2026_paper.html,DIRECT_COLLISION,"confidence-calibrated early-exit policy selecting earliest reliable layer","RGB-T rather than RGB-only; no DyHiT distractor-specific oracle labels"
N2-S08,CX058,arxiv_preprint,"Uncertainty-Guided Inference-Time Depth Adaptation for Transformer-Based Visual Tracking",2026,"arXiv:2602.16160",https://arxiv.org/abs/2602.16160,PARTIAL_COLLISION,"uncertainty and temporal feedback select tracker encoder/decoder depth","arXiv-only; STARK-based rather than DyHiT"
N2-S09,CX058,conference_paper,"MVLM: Template-Free Tracking via Vision-Language Margin Confidence and Memory-Gated Tracking",2026,"CVPR 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Park_MVLM_Template-Free_Tracking_via_Vision-Language_Margin_Confidence_and_Memory-Gated_Tracking_CVPR_2026_paper.html,DIRECT_COLLISION,"competitor-margin confidence gates compact local versus global tracking mode under ambiguity","language/template-free setting; route type differs from DyHiT depth"
N2-S10,"CX044;CX058",conference_paper,"Adaptive Capacity Autoregressive Visual Tracking",2026,"CVPR 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Lin_Adaptive_Capacity_Autoregressive_Visual_Tracking_CVPR_2026_paper.html,DIRECT_COLLISION,"temporal-difficulty estimator switches low/high capacity","autoregressive tracker; no AsymTrack ETM/OPE or DyHiT route-calibration implementation"
