51	47	25	62
49	40	23	66
35	36	24	66
34	40	23	67
38	34	24	72
28	36	26	69
32	34	24	69
38	38	26	70
42	34	25	72
41	31	22	68
42	30	27	69
46	33	23	65
61	34	24	72
67	29	23	70
65	29	25	66
85	32	22	62
100	33	25	67
90	26	26	66
82	25	26	68
87	22	28	69
84	23	26	66
82	24	26	71
81	28	28	75
89	36	28	73
77	40	24	70
74	40	26	68
82	28	25	67
80	21	23	70
70	13	26	69
59	13	26	69
62	14	30	71
73	21	27	69
81	20	26	71
89	20	28	75
105	17	29	77
119	20	25	73
111	18	29	75
112	14	26	76
130	23	27	73
138	24	26	74
147	28	26	72
153	29	25	69
153	29	25	73
149	24	25	80
150	22	27	75
151	27	26	76
120	30	27	76
104	28	24	75
101	29	25	72
103	30	26	73
102	19	30	76
106	9	29	76
105	8	28	76
115	18	28	76
119	15	28	79
119	25	33	80
107	28	27	75
108	26	28	81
99	24	31	80
99	17	29	81
122	13	29	80
132	11	28	83
126	17	30	81
128	27	27	77
126	33	30	79
128	33	27	79
130	40	29	81
137	47	31	83
131	53	31	87
116	55	35	81
123	43	34	82
114	45	37	78
106	51	32	82
97	39	28	83
90	42	31	85
103	48	33	88
114	55	28	86
121	67	26	78
133	56	28	90
142	63	33	88
127	59	35	82
133	53	39	87
153	48	32	89
158	47	36	86
164	45	35	89
179	48	29	87
170	48	34	90
170	49	30	90
172	51	33	89
169	45	33	88
128	50	35	89
115	38	34	82
130	32	32	87
127	31	28	87
133	27	27	88
125	26	34	88
128	36	38	90
144	39	35	85
141	42	40	87
138	43	33	90
134	39	34	93
142	42	27	80
136	25	31	94
132	13	33	94
167	13	35	94
172	19	37	88
174	21	33	88
183	22	30	90
190	32	36	85
169	30	34	95
168	34	32	87
165	34	39	93
156	42	40	90
128	38	42	95
125	34	33	90
116	42	32	85
117	41	34	94
118	39	31	88
113	45	33	93
117	42	41	90
136	40	33	95
143	44	35	94
141	42	35	93
141	43	32	89
141	25	34	92
140	18	38	94
169	19	35	92
174	21	31	92
175	27	32	95
170	31	34	90
166	28	33	92
162	30	34	93
164	34	37	91
148	28	39	93
130	25	39	97
125	25	32	90
127	14	36	87
126	14	34	89
138	15	33	92
133	23	40	90
