205	151	17	50
202	149	19	51
201	152	21	45
199	150	20	49
198	148	20	52
196	147	20	53
195	148	21	52
193	148	19	51
192	147	21	51
191	146	20	54
187	145	21	51
187	144	19	51
185	144	19	49
185	145	19	48
183	143	19	51
181	142	20	52
180	144	20	51
179	142	20	53
179	142	20	51
179	139	19	51
177	140	18	49
177	140	18	46
176	139	19	44
176	139	19	46
174	138	19	47
172	137	19	50
172	139	19	46
171	137	18	49
171	136	19	50
169	134	19	50
168	134	17	49
167	137	18	43
166	134	18	47
166	132	18	47
166	134	18	45
162	131	21	49
162	131	19	49
163	130	19	50
162	130	18	47
162	130	19	44
161	126	26	50
157	123	28	49
154	120	25	54
159	123	21	49
160	125	21	47
160	124	16	45
159	126	19	47
158	126	17	46
156	124	17	44
155	124	18	45
154	122	18	46
151	122	18	42
150	119	17	45
148	120	18	46
148	120	18	46
146	121	19	44
145	121	19	41
143	119	20	45
142	122	19	41
141	122	20	41
139	121	18	43
139	119	15	42
136	119	14	40
135	118	15	42
134	116	16	46
134	116	17	45
130	116	20	45
131	116	18	46
128	117	16	43
126	115	16	42
124	114	15	41
123	113	15	42
123	112	16	42
122	112	17	44
119	111	17	43
119	111	18	45
115	110	18	44
117	111	17	39
114	109	17	37
114	109	16	37
113	107	15	40
111	107	15	40
111	107	15	40
107	107	17	39
104	107	21	39
105	107	15	36
102	107	19	38
101	106	18	37
101	105	16	39
99	103	15	40
99	104	13	38
97	103	14	38
94	102	15	39
91	101	15	40
92	103	14	39
91	103	15	38
87	103	15	36
86	101	15	38
83	99	15	39
84	99	13	39
82	99	14	38
79	100	16	37
78	98	15	37
78	99	14	36
77	101	16	35
74	99	16	38
73	99	15	36
72	96	15	37
70	96	14	38
66	96	16	37
66	95	15	38
66	97	14	38
62	96	18	37
63	98	17	36
61	97	14	34
59	95	16	36
59	94	14	34
58	94	13	37
57	94	13	36
55	93	14	35
