record_id,archive_id,archive_name,claimed_variant,sequence,internal_member_path,row_count,first_five_rows,last_row,raw_text_byte_size,raw_text_sha256,line_ending,coordinate_format
E1-RAWSEQ-001,E1-RAW-001,spiketrack_b256_t1.zip,OTHER_VARIANT_CONFIRMED,Deer,otb/Deer.txt,71,306	5	95	65 || 309	4	110	83 || 314	29	104	77 || 318	48	112	87 || 323	93	114	78,370	40	121	90,1014,3b0f49d0b09e2cb1ace5a97e12ebec4eca444dd7edfd98386790d3ba93e50e98,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
E1-RAWSEQ-002,E1-RAW-001,spiketrack_b256_t1.zip,OTHER_VARIANT_CONFIRMED,Crossing,otb/Crossing.txt,120,205	151	17	50 || 202	152	21	46 || 200	152	21	47 || 198	150	21	50 || 198	151	20	46,55	93	15	33,1633,200933069627fc7f5b03a898e08ea24644058d3ee47a7a63ff791afe52103e8e,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
E1-RAWSEQ-003,E1-RAW-001,spiketrack_b256_t1.zip,OTHER_VARIANT_CONFIRMED,Couple,otb/Couple.txt,140,51	47	25	62 || 47	39	25	64 || 34	36	25	64 || 30	40	25	66 || 39	34	26	67,140	25	33	89,1781,359a45c049c6f1c4b8e12829a0b6664155c0e3aea80d5f4153891d3ebd4ef90a,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
E1-RAWSEQ-004,E1-RAW-002,spiketrack_b256_t3.zip,OTHER_VARIANT_CONFIRMED,Deer,otb/Deer.txt,71,306	5	95	65 || 310	12	98	78 || 311	34	104	78 || 325	63	93	80 || 324	85	107	89,369	46	98	74,969,74d52861b9da271c861e4c1452f8ee66e7eac3ace306384a6011e0aeb7bf9cdb,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
E1-RAWSEQ-005,E1-RAW-002,spiketrack_b256_t3.zip,OTHER_VARIANT_CONFIRMED,Crossing,otb/Crossing.txt,120,205	151	17	50 || 202	151	20	46 || 201	151	20	45 || 198	151	21	47 || 199	151	18	46,56	94	14	35,1635,4950c6858adae86e97bdbbbab50fd585f352424942e532e3f948d24671147a9b,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
E1-RAWSEQ-006,E1-RAW-002,spiketrack_b256_t3.zip,OTHER_VARIANT_CONFIRMED,Couple,otb/Couple.txt,140,51	47	25	62 || 46	40	26	64 || 34	35	24	67 || 32	38	25	70 || 38	34	27	68,143	25	31	87,1783,a43c3c89aa7df2218922d6c4a14b460d828a4294cc195704aa0fa0da05c37213,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
E1-RAWSEQ-007,E1-RAW-003,spiketrack_b384_t1.zip,OTHER_VARIANT_CONFIRMED,Deer,otb/Deer.txt,71,306	5	95	65 || 312	2	108	83 || 316	22	96	88 || 327	50	99	91 || 321	73	135	117,362	11	341	177,1038,b0813ee8115305a800c57ab2b7660633d13e82afecaf02a9beb8f555b40ae80d,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
E1-RAWSEQ-008,E1-RAW-003,spiketrack_b384_t1.zip,OTHER_VARIANT_CONFIRMED,Crossing,otb/Crossing.txt,120,205	151	17	50 || 201	151	21	49 || 201	150	20	51 || 197	151	22	50 || 197	148	20	53,55	93	15	36,1634,6ee769d07075d5cffa8bfab0a104169f758716b162a65428b0b1265b2454dbf0,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
E1-RAWSEQ-009,E1-RAW-003,spiketrack_b384_t1.zip,OTHER_VARIANT_CONFIRMED,Couple,otb/Couple.txt,140,51	47	25	62 || 47	39	25	64 || 35	35	23	67 || 32	40	27	68 || 37	35	27	68,140	25	32	86,1783,1f790a6e773a80182f8baa783b44b053b604d462a2d1bcd9cca6cd45f088358a,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
E1-RAWSEQ-010,E1-RAW-004,spiketrack_b384_t3.zip,OTHER_VARIANT_CONFIRMED,Deer,otb/Deer.txt,71,306	5	95	65 || 310	13	92	76 || 313	31	98	80 || 324	62	85	76 || 325	100	97	74,367	49	97	77,1009,cab21d4d77325b67632331183b345f540604b7c160a4bf98d5160ff6b9dec726,LF_WITH_TERMINAL_NEWLINE,TAB_SEPARATED_X_Y_WIDTH_HEIGHT_INTEGERS
