record_type,encoder_forward_id,mrm1_input_abs_mean,mrm1_input_std,mrm1_input_rms,mrm1_input_nonzero_ratio,template_memory_abs_mean,template_memory_std,template_memory_rms,template_memory_nonzero_ratio,search_to_template_rms_ratio,feature_tensor_extraction_ms,mrm1_input_shape,template_memory_shape,epsilon,previous_confidence,previous_center_displacement_normalized_by_predicted_scale,previous_log_area_ratio,history_cold_start,feature_history_extraction_ms,feature_extraction_ms,frame_id,physical_mode,pair_id,side,sequence,frame_index,connected_component,oracle_skip_benefit,oracle_label,holdout
stage4c1_pre_mrm1_features,396,1.371282935142517,1.6122255325317383,1.7677909135818481,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.5087430719531586,19.311100004415493,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.44445428252220154,0.03450672192237384,0.0437225125602478,False,0.10710000060498714,19.41820000502048,396,none,R3-D01,primary,Basketball,397,component_01,0.07890802466274166,1,False
stage4c1_pre_mrm1_features,397,1.335182785987854,1.5820459127426147,1.7447845935821533,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.5021222064305119,1.6507000036654063,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.3856746256351471,0.03389913773313836,0.2687229340536917,False,0.12630000128410757,1.7770000049495138,397,none,R3-D01,primary,Basketball,398,component_01,0.05657196377657392,1,False
stage4c1_pre_mrm1_features,398,1.3191285133361816,1.5674961805343628,1.7340718507766724,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.49903924359705004,1.5912000017124228,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.4060044586658478,0.0022318225712883175,0.13696459051638626,False,0.18500000442145392,1.7762000061338767,398,none,R3-D01,primary,Basketball,399,component_01,-0.011664018489094374,0,False
stage4c1_pre_mrm1_features,399,1.355968952178955,1.5917657613754272,1.7469974756240845,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.502759039892678,1.7316000012215227,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.41924142837524414,0.11200183744074439,-0.41802304675961627,False,0.09339999814983457,1.8249999993713573,399,none,R3-D01,primary,Basketball,400,component_01,-0.08028790341304853,0,False
stage4c1_pre_mrm1_features,400,1.3594183921813965,1.6013634204864502,1.7535033226013184,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.5046313227239937,1.6638000015518628,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.47607550024986267,0.010567727068663983,-0.04638043688235901,False,0.09229999704984948,1.7560999986017123,400,none,R3-D01,primary,Basketball,401,component_01,0.03944920898995041,1,False
stage4c1_pre_mrm1_features,401,1.3539174795150757,1.5958011150360107,1.7528373003005981,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.5044396517358386,1.595699999597855,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.47557443380355835,0.030006653505128537,0.13799827988632762,False,0.10230000043520704,1.698000000033062,401,none,R3-D01,primary,Basketball,402,component_01,0.029595108760678612,1,False
stage4c1_pre_mrm1_features,402,1.3581644296646118,1.6032838821411133,1.758129596710205,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.505962693353727,1.716300001135096,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.41708147525787354,0.010563268068078944,-0.04620413543364981,False,0.09050000517163426,1.8068000063067302,402,none,R3-D01,primary,Basketball,403,component_01,-0.07036623320596574,0,False
stage4c1_pre_mrm1_features,403,1.3605815172195435,1.5990184545516968,1.7525535821914673,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.504358002021894,1.8845000013243407,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.4603952467441559,0.026592367498166285,-0.12578556092236362,False,0.09900000441120937,1.98350000573555,403,none,R3-D01,primary,Basketball,404,component_01,-0.08183286412111268,0,False
stage4c1_pre_mrm1_features,404,1.3684399127960205,1.6080756187438965,1.7610865831375122,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.5068136686286842,1.6093000012915581,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.5183228254318237,0.03270705408802449,0.044943946834397196,False,0.10430000111227855,1.7136000024038367,404,none,R3-D01,primary,Basketball,405,component_01,-0.011931339652152984,0,False
stage4c1_pre_mrm1_features,405,1.369865894317627,1.6058186292648315,1.7601724863052368,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.5065506056007313,1.9054000003961846,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.446015864610672,0.04568904585541194,-0.036295330620676046,False,0.32279999868478626,2.228199999080971,405,none,R3-D01,primary,Basketball,406,component_01,0.06531106688587002,1,False
stage4c1_pre_mrm1_features,406,1.3562185764312744,1.597536563873291,1.7566901445388794,1.0,2.0360107421875,2.815855026245117,3.474820613861084,0.814453125,0.5055484411285665,1.5691000007791445,"[1, 1, 32, 64, 64]","[1, 1, 8, 4, 16]",1e-12,0.39267101883888245,0.055007117809804856,0.18972097572153684,False,0.0903999971342273,1.6594999979133718,406,none,R3-D01,primary,Basketball,407,component_01,-0.013783038488499377,0,False
