pair_id,side,sequence,frame_index,connected_component,iou_baseline,iou_physical_whole_mrm1_skip,oracle_skip_benefit,oracle_label,exact_tie_is_zero,predictor_eligible,holdout
R3-D01,primary,Basketball,397,component_01,0.2819410319410319,0.3608490566037736,0.07890802466274166,1,False,True,False
R3-D01,primary,Basketball,398,component_01,0.24646500805441202,0.30303697183098594,0.05657196377657392,1,False,True,False
R3-D01,primary,Basketball,399,component_01,0.3812292358803987,0.3695652173913043,-0.011664018489094374,0,False,True,False
R3-D01,primary,Basketball,400,component_01,0.4,0.3197120965869515,-0.08028790341304853,0,False,True,False
R3-D01,primary,Basketball,401,component_01,0.3465894789831362,0.3860386879730866,0.03944920898995041,1,False,True,False
R3-D01,primary,Basketball,402,component_01,0.359717868338558,0.3893129770992366,0.029595108760678612,1,False,True,False
R3-D01,primary,Basketball,403,component_01,0.40982142857142856,0.3394551953654628,-0.07036623320596574,0,False,True,False
R3-D01,primary,Basketball,404,component_01,0.3936535162950257,0.311820652173913,-0.08183286412111268,0,False,True,False
R3-D01,primary,Basketball,405,component_01,0.4015748031496063,0.3896434634974533,-0.011931339652152984,0,False,True,False
R3-D01,primary,Basketball,406,component_01,0.3362637362637363,0.4015748031496063,0.06531106688587002,1,False,True,False
R3-D01,primary,Basketball,407,component_01,0.3563203519213352,0.34253731343283583,-0.013783038488499377,0,False,True,False
R3-D01,primary,Basketball,408,component_01,0.49496764917325664,0.5941747572815534,0.0992071081082968,1,False,True,False
R3-D01,primary,Basketball,409,component_01,0.38816067653276953,0.4522167487684729,0.06405607223570337,1,False,True,False
R3-D01,primary,Basketball,410,component_01,0.3583138173302108,0.36160714285714285,0.003293325526932067,1,False,True,False
R3-D01,primary,Basketball,411,component_01,0.36141732283464567,0.349758699517399,-0.011658623317246652,0,False,True,False
R3-D01,primary,Basketball,412,component_01,0.3362637362637363,0.3362637362637363,0.0,0,True,True,False
R3-D01,primary,Basketball,413,component_01,0.4243451463790447,0.2810777709736681,-0.1432673754053766,0,False,True,False
R3-D01,primary,Basketball,414,component_01,0.2295,0.2390625,0.009562500000000002,1,False,True,False
R3-D01,primary,Basketball,415,component_01,0.13248665031029008,0.30784708249496984,0.17536043218467975,1,False,True,False
R3-D01,primary,Basketball,416,component_01,0.12053571428571429,0.3764866712235133,0.255950956937799,1,False,True,False
R3-D01,primary,Basketball,417,component_01,0.21430238891915027,0.3998257839721254,0.18552339505297516,1,False,True,False
R3-D01,primary,Basketball,418,component_01,0.0,0.3472887767969735,0.3472887767969735,1,False,True,False
R3-D01,primary,Basketball,419,component_01,0.0,0.3793388429752066,0.3793388429752066,1,False,True,False
R3-D01,primary,Basketball,420,component_01,0.011390284757118929,0.349758699517399,0.33836841476028007,1,False,True,False
R3-D01,primary,Basketball,421,component_01,0.0,0.3336159903089037,0.3336159903089037,1,False,True,False
R3-D01,primary,Basketball,422,component_01,0.0,0.3554924486898154,0.3554924486898154,1,False,True,False
R3-D01,primary,Basketball,423,component_01,0.0,0.3388704318936877,0.3388704318936877,1,False,True,False
R3-D01,primary,Basketball,424,component_01,0.0,0.3672,0.3672,1,False,True,False
R3-D01,primary,Basketball,425,component_01,0.0,0.392811296534018,0.392811296534018,1,False,True,False
R3-D01,primary,Basketball,426,component_01,0.0,0.3589676746611053,0.3589676746611053,1,False,True,False
R3-D01,primary,Basketball,427,component_01,0.0,0.4038123167155425,0.4038123167155425,1,False,True,False
R3-D01,primary,Basketball,428,component_01,0.0,0.411044776119403,0.411044776119403,1,False,True,False
R3-D01,primary,Basketball,429,component_01,0.0,0.38636363636363635,0.38636363636363635,1,False,True,False
R3-D01,primary,Basketball,430,component_01,0.0,0.37382923849599564,0.37382923849599564,1,False,True,False
R3-D01,primary,Basketball,431,component_01,0.0,0.29805194805194807,0.29805194805194807,1,False,True,False
R3-D01,primary,Basketball,432,component_01,0.0,0.29360341151385927,0.29360341151385927,1,False,True,False
R3-D01,primary,Basketball,433,component_01,0.0,0.4156981132075472,0.4156981132075472,1,False,True,False
